size	var_k1	max_k1	var_k3	max_k3	var_k5	max_k5	path
95677	80	260	1094	848	113883	6344	./e5617e6990a35eed1a73289cef7c494d.JPG
64743	83	307	1067	990	103757	7868	./e5a2cdbdbc1577b4b120b3e0caaf5832.JPG
30465	69	290	887	930	86582	7644	./e5f2a7ca547ad45c7bb7e1b11568f562.JPG
111221	114	295	1504	932	148731	7912	./e8746eb0670ec2f7a9abf1faffcac708.JPG
31285	76	318	991	930	95388	7840	./eaa2f0f0105a7024d77b418f172624fd.JPG
62421	46	260	622	848	65802	6344	./eb2df64d2c690beae5e2cfd29eb02e42.JPG
159265	255	268	3299	870	328905	6168	./eea37562e43cfcd22644573d78a8917b.JPG
92871	82	280	1042	930	103578	7868	./ef15fac12778dbf13371645afcec5799.JPG
31196	74	287	980	930	93243	7884	./f1e8978925b950a0b2e1e92b8492ae01.JPG
52827	82	324	1078	952	102846	7816	./f2b75d5c407f1357e5f99d18fc4ba0c2.JPG
43465	77	311	1000	930	98018	7856	./f4dc44c2e1ac18a805f150b14f6b7253.JPG
41710	76	302	988	930	95105	7884	./f5aa46a6c12cd5375d4df61a50bdba21.JPG
99551	71	260	972	848	102613	6320	./f6b71b0d04188252efe865395aff58db.JPG
77004	72	261	919	780	91677	7308	./f84f09ba5ef33cd5dbe277d00e4c1768.JPG
62482	80	332	1031	990	99877	7856	./f88c984af060260856978624b4e7889a.JPG
115581	103	260	1401	848	146933	6336	./f8bd341370051ab5db5f78120819b24c.JPG
36412	79	330	1031	948	96271	7804	./f8d459f5577d7c1603f1c6f018a39420.JPG
65731	61	260	849	848	88970	6168	./fd4e6a733155f99ab9f3f62dc381b094.JPG
84784	81	280	1010	930	97744	7792	./feddf465725de1b8186e930cd0337a65.JPG
35895	71	280	913	930	89542	7856	./ff199758cde217903f85be6b8bc42b49.JPG
